,价格（￥）data.to_csv('爬取关键词：'+keyword+'结果'+'.csv'),名称,ID
0,￥7799.00,联想ThinkBook 13x 高端超轻薄笔记本 英特尔Evo平台 13.3英寸 (i7-1160G7 16G 512G 2.5K全面屏 Win11),100027098834
1,￥4499.00,戴尔DELL成就3400 14英寸轻薄性能商务全面屏笔记本电脑(11代i5-1135G7 16G 512G)一年上门+7x24远程服务,100016777690
2,￥4999.00,华为笔记本电脑 MateBook D 14 2021款 14英寸 11代酷睿 I5 16G+512G 轻薄本/护眼全面屏/多屏协同/Wifi 6 银,100017048040
3,￥5199.00,"京品电脑	
惠普(HP)战66四代 锐龙版 14英寸轻薄笔记本电脑(Zen3架构 8核 R7-5800U 16G 512G 400尼特高色域 一年上门)",100018080014
4,￥4999.00,"京品电脑	
惠普(HP)战66四代 锐龙版 14英寸轻薄笔记本电脑(Zen3架构 6核 R5-5600U 16G 512G 400尼特高色域 一年上门)",100018079978
5,￥5999.00,华为笔记本电脑MateBook 14 2021款 14.0英寸11代酷睿i5 16G 512G 锐炬显卡/2K触控轻薄本 /多屏协同 深空灰,100010022425
6,￥9499.00,联想笔记本电脑ThinkPad P15v(2DCD)英特尔酷睿15.6英寸高性能设计师工作站 i7-11800H 16G 512G T600 高色域,100013404039
7,￥4599.00,联想小新Air14锐龙版轻薄本 14英寸全面屏办公笔记本电脑(6核12线程R5-5500U 16G 512G 高色域 WiFi6)深空灰,100018584132
8,￥4299.00,"京东超市	
华硕（ASUS）VivoBook14 2021 英特尔酷睿 新品14英寸IPS高清屏轻薄本笔记本电脑 冰晶银 11代i5 16G 512G 锐炬显卡",10031299389342
9,￥3499.00,荣耀笔记本 MagicBook X 14 2021 14英寸全面屏轻薄笔记本电脑 （i3 10110U 8GB 256GB多屏协同）冰河银,100021400870
10,￥4379.00,戴尔（DELL）3400灵越5000 14英寸酷睿i5超极本轻薄便携学生游戏商务办公手提笔记本电脑 成就 酷睿i5-1035G1 16G内存/512G高速固态【定制版】,25361143529
11,￥5899.00,联想ThinkPad E14 2021款 酷睿版 英特尔酷睿i7 14英寸轻薄笔记本电脑(i7-1165G7 16G 512G 100%sRGB)银,100016514926
12,￥4699.00,联想ThinkPad E14 2021款 酷睿版 英特尔酷睿i5 14英寸轻薄笔记本电脑(i5-1135G7 8G 512G 100%sRGB)银,100017442148
13,￥5799.00,"京品电脑	
华硕无畏Pro14 锐龙版 2.8K OLED轻薄笔记本电脑(R7-5800H 16G 512G 100%DCI-P3 高色域600尼特90Hz护眼屏)银",100021150248
14,￥4289.00,"京品电脑	
华硕（ASUS）VivoBook15 2021版 11代英特尔酷睿 15.6英寸轻薄办公笔记本电脑 i5-1135G7 16G 512G固态 锐炬显卡 银色",28206239565
15,￥7999.00,Apple MacBook Air 13.3 新款八核M1芯片(7核图形处理器) 8G 256G SSD 深空灰 笔记本电脑 MGN63CH/A,100009464799
16,￥4199.00,荣耀笔记本电脑MagicBook X 15轻薄本手提商务办公超级本华为多屏协同 银｜i5-10210U 8GB 512GB 官方标配,10030495601065
17,￥8999.00,戴尔(DELL)游匣G15 15.6英寸游戏笔记本电脑(11代英特尔酷睿i7-11800H 16G 512G RTX3060 165Hz 100%sRGB)黑,100012622295
18,￥4499.00,联想ThinkBook 14 2021款 酷睿版(0SCD) 英特尔酷睿i5 14英寸轻薄笔记本(i5-1155G7 16G 512G 高色域 Win11),100014855527
19,￥4599.90,戴尔笔记本电脑dell灵越3511 15.6英寸高性能商务全面屏办公轻薄本(11代i5-1135G7 16G 512G 锐炬显卡)银,100012779151
20,￥3999.00,"京品电脑	
荣耀笔记本 MagicBook X 15 2021 15.6英寸全面屏轻薄笔记本电脑 （i5 10210U 8GB 512GB多屏协同）冰河银",100021400874
21,￥4489.00,"京东超市	
华硕（ASUS）VivoBook15 15.6英寸ips高清屏新品双硬盘轻薄笔记本电脑 银色11代i5 12G 256G+1TB 2G独显",10025621720527
22,￥2999.00,"京品电脑	
惠普(HP)星14 青春版 14英寸轻薄窄边框笔记本电脑(i3-1115G4 8G 256GSSD UMA FHD IPS)银",100021039112
23,￥2799.00,宏碁(Acer)墨舞EX215 15.6英寸轻薄大屏办公笔记本(英特尔四核N5100 8G 256GSSD 全高清防眩光雾面屏 Win10),100024169908
24,￥12699.00,Apple MacBook Pro 13.3 新款八核M1芯片 16G 512G SSD 深空灰 笔记本电脑 轻薄本 Z11C,100016724434
25,￥6299.00,"京品电脑	
机械革命（MECHREVO）Z3 Air 11代八核 15.6英寸轻薄游戏笔记本电脑(i7-11800H 16G 512G RTX3050 100%sRGB)",100011431721
26,￥7999.00,Apple MacBook Air 13.3 新款8核M1芯片(7核图形处理器) 8G 256G SSD 银色 笔记本电脑 MGN93CH/A,100016616050
